id;source;name;neighbourhood_group_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price
288057;city scrape;Fast.E-360Mbs/Tram 245m/Carmen 390m/On-St parking;LA SAIDIA;Entire rental unit;Entire home/apt;3;1;1;2;86
308525;city scrape;Loft Torres Quart-Valencia Center;EXTRAMURS;Entire loft;Entire home/apt;3;1;1;2;115
313137;city scrape;Apartamento centro de Valencia.;L'EIXAMPLE;Entire rental unit;Entire home/apt;3;1;2;2;54
323609;city scrape;Beach Villa,  patio and bbq. Cabanyal;POBLATS MARITIMS;Entire villa;Entire home/apt;5;2;2;3;172
346695;city scrape;Apartment in the historic center  WiFi;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;2;2;2;109
361016;city scrape;PANORAMIC;EXTRAMURS;Entire serviced apartment;Entire home/apt;4;1;3;5;118
364517;city scrape;City of Arts with private bath;QUATRE CARRERES;Private room in rental unit;Private room;2;1;1;2;75
411385;city scrape;Céntrico, elegante y tranquilo. Ideal familias.;CIUTAT VELLA;Entire condo;Entire home/apt;4;1;2;2;145
421405;city scrape;Unbeatable location, your own bath;CIUTAT VELLA;Private room in rental unit;Private room;1;1;1;1;43
447232;city scrape;LOCATION•NEW•QUIET•CHIC•METRO•IDEAL;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;2;264
455833;city scrape;apartment forehead station of ave.;EXTRAMURS;Entire rental unit;Entire home/apt;4;1.5;2;2;60
467151;city scrape;Cute Apartment Studio Wifi + pool + pádel + sauna;BENICALAP;Entire condo;Entire home/apt;3;1;1;3;94
472858;city scrape;Habitación individual bonita y luminosa. Valencia;ALGIROS;Private room in rental unit;Private room;1;1;1;1;32
476415;city scrape;Sun Apartment Valencia  @  With Balcony & Parking;CAMINS AL GRAU;Entire rental unit;Entire home/apt;5;1;2;3;147
478752;city scrape;ArtApartment Ready to Live/pool/Luxury Residential;CAMPANAR;Entire condo;Entire home/apt;4;1;1;3;236
491152;city scrape;Gorgeus apartment in Valencia;ALGIROS;Private room in rental unit;Private room;1;1;1;1;33
524523;city scrape;Best Location: Mestalla, Single Bed, Free Coffee;EL PLA DEL REAL;Private room in rental unit;Private room;1;1;1;1;36
530706;city scrape;Céntrico y acogedor apartamento new WIFI;CIUTAT VELLA;Entire rental unit;Entire home/apt;3;1;1;2;111
538964;city scrape;CASA  EN LA PLAYA DE VALENCIA;POBLATS MARITIMS;Entire home;Entire home/apt;6;1;2;4;140
547590;city scrape;CIUDAD DE LAS CIENCIAS CON PARKING PRIVADO & AC;CAMINS AL GRAU;Entire rental unit;Entire home/apt;2;1;1;1;133
556620;city scrape;Cozy room in the center;LA SAIDIA;Private room in rental unit;Private room;1;1.5;1;1;38
579273;city scrape;Mercat Central Apartment;CIUTAT VELLA;Entire loft;Entire home/apt;3;1;1;1;70
595233;city scrape;Valencia desing loft lake view. Bikes free parking;CAMPANAR;Entire condo;Entire home/apt;3;1;1;1;80
633762;city scrape;Apto Loft Torres de Serranos;CIUTAT VELLA;Entire loft;Entire home/apt;4;1;0;2;184
657794;city scrape;NewWave Russafa Haven;QUATRE CARRERES;Entire rental unit;Entire home/apt;4;2;3;3;118
663047;city scrape;Wonderful Penthouse. Parking. MONTHLY RENTALS;CAMINS AL GRAU;Entire rental unit;Entire home/apt;4;2;2;2;201
672551;city scrape;Centro Ciudad 5 Habitaciones 250m2.;CIUTAT VELLA;Entire loft;Entire home/apt;10;2;5;9;364
681002;city scrape;Ciudad de las Ciencias! Habitacion;QUATRE CARRERES;Private room in rental unit;Private room;2;1;1;1;31
681925;city scrape;Very Central, Stunning Views, Sunny Terrace, Wifi!;CIUTAT VELLA;Entire loft;Entire home/apt;2;1;1;1;128
682219;city scrape;FALLA Apartment wifi & terrace next;LA SAIDIA;Entire rental unit;Entire home/apt;4;1;1;1;44
688130;city scrape;Beautiful 4 bedroom appartment WIFI;EL PLA DEL REAL;Entire rental unit;Entire home/apt;7;2;4;6;261
698779;city scrape;"Bed&breakfast in Valencia.""RUSSAFA""";L'EIXAMPLE;Private room in home;Private room;3;1.5;2;2;69
714886;city scrape;Golf course and beach flat+wifi;POBLATS DEL SUD;Entire rental unit;Entire home/apt;5;1;3;4;93
716081;city scrape;Ático muy luminoso en Ruzafa;L'EIXAMPLE;Entire rental unit;Entire home/apt;5;1.5;3;4;117
724380;city scrape;Ático Abuhardillado del Siglo XVI con Terraza;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;1;2;2;125
760857;city scrape;Cozy rooftop flat with garden terrace.;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;2;83
772380;city scrape;Charming loft in Plaza Redonda -1;CIUTAT VELLA;Entire loft;Entire home/apt;2;1;1;1;86
776819;city scrape;Our Sunny Penthouse. Stay!!!;CIUTAT VELLA;Entire loft;Entire home/apt;4;1;0;3;110
782942;city scrape;Charming loft in Plaza Redonda -2;CIUTAT VELLA;Entire loft;Entire home/apt;2;1;1;1;86
852911;city scrape;Private room with own bathroom;L'EIXAMPLE;Private room in rental unit;Private room;4;2;1;3;25
853840;city scrape;Sun Studio City Center @ Top Location-Nice Balcony;CIUTAT VELLA;Entire loft;Entire home/apt;4;1;1;2;113
864794;city scrape;Apartamento en el corazón Valencia;CIUTAT VELLA;Entire loft;Entire home/apt;2;1.5;1;3;50
870353;city scrape;25' walking to downtown - comfy & sunny flat -WiFi;PATRAIX;Entire rental unit;Entire home/apt;2;1;1;2;73
880307;city scrape;SUNNY VALENCIA;JESUS;Entire rental unit;Entire home/apt;2;1;2;4;50
896304;city scrape;Penthouse on the beach//wifi;POBLATS DEL SUD;Entire loft;Entire home/apt;4;2;2;3;95
923390;city scrape;NOMAD Flats 2 bdroom+wifi;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;3;135
927457;city scrape;Nuevo Corazón del Centro Loft+WIFI;CIUTAT VELLA;Entire condo;Entire home/apt;3;1;1;2;89
929005;city scrape;sunny single bedroom city centre;L'EIXAMPLE;Private room in rental unit;Private room;2;1;1;2;40
938734;city scrape;A centric loft;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;0.5;1;1;70
940297;city scrape;Unique apartament in the heart of valencia;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;2;141
951216;city scrape;Cozy apartment in Valencia center;CIUTAT VELLA;Private room in rental unit;Private room;1;0.5;1;1;40
955937;city scrape;design loft+wifi+sunny terrace;CAMPANAR;Entire loft;Entire home/apt;2;1.5;1;1;199
959190;city scrape;Primera línea de playa cerca de Valencia;POBLATS DEL SUD;Entire rental unit;Entire home/apt;6;2;3;4;125
960147;city scrape;Your home in the center of Valencia;CIUTAT VELLA;Entire condo;Entire home/apt;2;1;1;1;90
969359;city scrape;N1 Puerto,Playa,Ciudad Artes yCienc;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1.5;3;3;73
970809;city scrape;luxury apartment in the city center;CIUTAT VELLA;Entire rental unit;Entire home/apt;3;1;1;1;120
983548;city scrape;Flat next to Train Station & Subway;EXTRAMURS;Entire loft;Entire home/apt;4;1.5;1;2;106
993282;city scrape;1 Bdr. APARTMENT CENTER VALENCIA;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;105
995182;city scrape;ART GALLERY APARTMENT IN THE CENTER;CIUTAT VELLA;Entire rental unit;Entire home/apt;8;2;3;6;219
1043431;city scrape;Ático con terrazas en el carmen;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;3;123
1076302;city scrape;Cozy charming apartment in Valencia;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;120
1076404;city scrape;Centric and cozy apartment;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;113
1103471;city scrape;Apto. Benimaclet con Wifi;BENIMACLET;Entire rental unit;Entire home/apt;5;1;2;4;60
1105407;city scrape;Charming house in the center;L'EIXAMPLE;Entire home;Entire home/apt;4;2;2;3;150
1114098;city scrape;Sunny, Cute Apt Historic Centre 35e;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;1;99
1133635;city scrape;Planta Baja en Unifamiliar  junto al mar;POBLATS MARITIMS;Entire townhouse;Entire home/apt;4;1;1;2;80
1145001;city scrape;Big apartment in Valencia, Spain;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;3;3;77
1147656;city scrape;FAMILY-GOOD VIEWS-SW.POOL-FREE WIFI;CAMPANAR;Entire rental unit;Entire home/apt;6;2;3;5;150
1191980;city scrape;ROOM PERFECT AND BETTER COMFORT;L'EIXAMPLE;Private room in rental unit;Private room;2;1.5;1;1;53
1220708;city scrape;BEST DEAL TO STAY IN VALENCIA WIFI!;LA SAIDIA;Entire rental unit;Entire home/apt;6;2;2;4;86
1231911;city scrape;Sunny flat near uni + Malvarrosa beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;3;1;2;2;150
1232560;city scrape;Acogedor ático con altillo en Ruzafa;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;2;2;118
1254792;city scrape;Flat with terrace in the city centre;EXTRAMURS;Entire rental unit;Entire home/apt;4;2;2;2;192
1263619;city scrape;Open White Loft by CuldeSac;CIUTAT VELLA;Entire place;Entire home/apt;4;2;2;2;114
1308898;city scrape;BUBBLE CARO FLAT- City Center- :D;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;1;2;3;123
1329697;city scrape;Penthouse in Valencia-Benimaclet;BENIMACLET;Entire rental unit;Entire home/apt;7;1;1;4;108
1331704;city scrape;Trendy apartment in down town. WiFi;L'EIXAMPLE;Entire rental unit;Entire home/apt;3;1;1;2;51
1381562;city scrape;Céntrico, moderno y a buen precio;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;2;122
1391621;city scrape;Pequeño Studio luminoso;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;53
1400077;city scrape;Central flat with sunny terrace;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;3;95
1443990;city scrape;Apartamento Botanico - Torres Quart;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;95
1460051;city scrape;BEAUTIFUL 2 BEDROOM FLAT WITH WIFI;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;2;2;3;117
1470620;city scrape;Nordic Stay Valencia 5 - Joaquin Sorolla station;JESUS;Entire rental unit;Entire home/apt;4;1;2;3;88
1538774;city scrape;Loft Torres de Serranos;CIUTAT VELLA;Entire loft;Entire home/apt;4;1;1;1;160
1587310;city scrape;Single room in Benimaclet;BENIMACLET;Private room in rental unit;Private room;1;1;1;1;25
1639276;city scrape;Main Central Station Apartment;EXTRAMURS;Entire rental unit;Entire home/apt;9;2;3;6;107
1658018;city scrape;Single Room 1 Valencia Beach;POBLATS MARITIMS;Private room in rental unit;Private room;1;1;1;2;24
1702630;city scrape;Charming house next to the beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1;1;2;105
1713200;city scrape;Renovado Estudio privado en la playa;POBLATS MARITIMS;Entire rental unit;Entire home/apt;2;1;1;1;155
1715466;city scrape;Valencia Close to the beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;3;1;1;2;105
1740732;city scrape;CLEANING-DISINFECTION, NICE APARTAMENT  VALENCIA;L'OLIVERETA;Entire rental unit;Entire home/apt;4;1;2;3;100
1740954;city scrape;Valencia's  apartment 3 bedroom;L'EIXAMPLE;Entire rental unit;Entire home/apt;5;1.5;3;4;125
1758184;city scrape;cozy loft patio+pool +wifi;L'EIXAMPLE;Entire rental unit;Entire home/apt;3;1;1;2;134
1810684;city scrape;Valencia with wifi in the center;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;1;2;107
1830872;city scrape;Beautiful House;POBLATS MARITIMS;Entire home;Entire home/apt;7;2;3;5;275
1838698;city scrape;Fantastic Family House;L'OLIVERETA;Entire rental unit;Entire home/apt;6;2;3;4;70
1842000;city scrape;Luxury air-con 3 bed apt. Arts and Sciences area;CAMINS AL GRAU;Entire rental unit;Entire home/apt;6;2;3;5;137
1842193;city scrape;Estudio, lugar singular + wiffi, a pie calle;L'EIXAMPLE;Tiny home;Entire home/apt;2;1;0;1;85
1895636;city scrape;Luxury Attic Old town Valencia;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;2;3;4;146
1947238;city scrape;RENTAL APARTMENT IN RUZAFA, VALENCIA;L'EIXAMPLE;Entire rental unit;Entire home/apt;5;1;3;4;119
1970631;city scrape;Doble room well connected near Bioparc;L'OLIVERETA;Private room in rental unit;Private room;2;1;1;1;29
1991246;city scrape;HABITACIÓN AMPLIA DOBLE (double room);POBLATS MARITIMS;Private room in rental unit;Private room;3;1;1;2;50
2000011;city scrape;Precioso Loft en Valencia;EXTRAMURS;Entire loft;Entire home/apt;2;1;1;1;96
2053439;city scrape;Luxury apartment Valencia Center;CIUTAT VELLA;Entire loft;Entire home/apt;3;1;1;3;130
2060665;city scrape;Velero Lujo, 4 camarotes, 3 baños, Marina Valencia;POBLATS MARITIMS;Boat;Entire home/apt;8;3;4;2;256
2103536;city scrape;Penthouse with terrace and pool;CAMINS AL GRAU;Entire rental unit;Entire home/apt;6;2;3;4;250
2146923;city scrape;Great 3 bd flat historical centre;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;2;3;4;132
2211787;city scrape;NEW COSY LOFT IN HEART OF VALENCIA;EXTRAMURS;Entire rental unit;Entire home/apt;4;1;1;3;71
2353221;city scrape;Habitación centro doble con terraza  valencia;L'EIXAMPLE;Private room in rental unit;Private room;2;1;1;2;40
2360229;city scrape;DOUBLE ROOM+WIFI+TERRACE;L'OLIVERETA;Private room in rental unit;Private room;2;1;1;1;44
2364778;city scrape;Lovely flat in ideal location Wifi;L'EIXAMPLE;Entire rental unit;Entire home/apt;3;2;2;3;96
2375520;city scrape;Central;EXTRAMURS;Private room in rental unit;Private room;2;2;1;1;53
2424805;city scrape;Central & spacious with Bali Style/Nice Terrace;QUATRE CARRERES;Entire rental unit;Entire home/apt;4;1.5;2;6;114
2445550;city scrape;Centric apartament terrace and wifi;CIUTAT VELLA;Entire loft;Entire home/apt;4;1.5;1;2;42
2452337;city scrape;Estudio para parejas con WIFI en la playa;POBLATS MARITIMS;Entire rental unit;Entire home/apt;2;1;1;1;127
2459637;city scrape;Habitación céntrica con terraza Valencia-Ruzafa;L'EIXAMPLE;Private room in rental unit;Private room;2;1;1;2;38
2486462;city scrape;APARTMENT IN HISTORIC CENTRE;CIUTAT VELLA;Entire rental unit;Entire home/apt;3;1;2;2;125
2488639;city scrape;FERIA VALENCIA+wifi+garaje PGVT-1718-V;POBLATS DE L'OEST;Entire condo;Entire home/apt;4;2;2;4;130
2533554;city scrape;Habitación en el Cabañal;POBLATS MARITIMS;Private room in rental unit;Private room;2;1;1;1;31
2534892;city scrape;Piso romantico Playa Cabanyal wifi;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1;2;3;100
2535466;city scrape;Apartamento  centro Valencia;EXTRAMURS;Entire rental unit;Entire home/apt;2;1;1;1;120
2606636;city scrape;¡Impresionantes vistas al mar!;POBLATS MARITIMS;Entire rental unit;Entire home/apt;5;2;2;2;177
2646820;city scrape;Fast.E 350Mb/Tram-90m/Carmen-550m/On-St parking;LA SAIDIA;Entire rental unit;Entire home/apt;5;1;2;3;99
2706156;city scrape;Apart.- Loft en Barrio Carmen Vlc;CIUTAT VELLA;Entire loft;Entire home/apt;3;1;0;2;117
2725241;city scrape;Petite Penthouse;EXTRAMURS;Entire rental unit;Entire home/apt;3;1;1;1;136
2743692;city scrape;Amazing design apt in Valencia! FREE WIFI;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;2;2;2;208
2796700;city scrape;Apartament en Ruzafa;L'EIXAMPLE;Private room in rental unit;Private room;4;1;2;1;60
2821086;city scrape;COZY APARTMENT IN DOWNTOWN HEART;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;1;107
2851410;city scrape;Fast-E 50Mb/Metro-290m/Cafe Society enclave/On St;EXTRAMURS;Entire rental unit;Entire home/apt;5;1;2;2;97
2855311;city scrape;Precioso  apart. en el centro;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;4;90
2868831;city scrape;Comfy & handy apartment in Valencia;ALGIROS;Entire rental unit;Entire home/apt;6;2;4;4;170
2972825;city scrape;ENTRE EL CENTRO Y MAR;CAMINS AL GRAU;Entire rental unit;Entire home/apt;3;1;2;2;150
3070240;city scrape;I Loft Valencia;CIUTAT VELLA;Entire condo;Entire home/apt;6;1;2;4;311
3097721;city scrape;Piso genial en C. de las Ciencias;CAMINS AL GRAU;Entire condo;Entire home/apt;6;2;2;4;123
3161188;city scrape;DOUBLE ROOM AVAILABLE;L'EIXAMPLE;Private room in rental unit;Private room;2;1;1;1;39
3175070;city scrape;Studio in the old center barrio del Carmen 2º;CIUTAT VELLA;Entire loft;Entire home/apt;3;1;0;2;99
3212375;city scrape;CENTRO DE VALENCIA + WIFI (P27);CIUTAT VELLA;Entire rental unit;Entire home/apt;6;1;2;3;140
3275736;city scrape;ÁTICO CON TERRAZA IDEAL PAREJAS;EL PLA DEL REAL;Entire rental unit;Entire home/apt;2;1;2;3;199
3276114;city scrape;ATICO CON TERRAZA CHILL OUT;QUATRE CARRERES;Entire rental unit;Entire home/apt;6;1;2;3;250
3331996;city scrape;Ancient fisher flat near city beach;POBLATS MARITIMS;Entire loft;Entire home/apt;4;2;2;4;110
3340429;city scrape;Apartment Playa Patacona / Malvarro;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;2;2;3;100
3398866;city scrape;Loft centro Torres de Quart Botánico;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;2;2;2;145
3426665;city scrape;Private Terrace Marina Beach Flat!;POBLATS MARITIMS;Entire rental unit;Entire home/apt;5;1;2;3;140
3428145;city scrape;Sea views in Malvarrosa Beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;2;2;3;100
3459023;city scrape;Open Plan Rooftop Apartment with Garden;CIUTAT VELLA;Entire rental unit;Entire home/apt;3;1;1;2;139
3472484;city scrape;Apartamento muy céntrico reformado. Opción parking;EXTRAMURS;Entire rental unit;Entire home/apt;4;1;1;4;82
3517823;city scrape;Penthouse + Wi-Fi + Metro in center;EXTRAMURS;Private room in rental unit;Private room;2;1;1;1;38
3527806;city scrape;Precioso Ático de Artista LIC. VT40487V;L'EIXAMPLE;Entire rental unit;Entire home/apt;3;1;2;3;90
3550616;city scrape;Wide & luminous apartment with breakfast;QUATRE CARRERES;Entire rental unit;Entire home/apt;6;1.5;3;4;106
3554160;city scrape;Cozy flat in old town;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;1;119
3567941;city scrape;casa con encanto,en el centro;L'EIXAMPLE;Entire rental unit;Entire home/apt;2;1;0;5;125
3643077;city scrape;Piso en el corazón Russafa-Early/Late Checkin/out;L'EIXAMPLE;Entire rental unit;Entire home/apt;2;1;1;1;140
3651294;city scrape;excelente ubicación;CIUTAT VELLA;Entire loft;Entire home/apt;2;1;1;1;89
3736295;city scrape;Balcony to the sea close to the beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;5;1;3;4;150
3759310;city scrape;The best of Valencia by walk;CIUTAT VELLA;Private room in condo;Private room;1;1;1;1;40
3798923;city scrape;Maravilloso atico de diseño;CAMINS AL GRAU;Entire rental unit;Entire home/apt;4;1;1;1;75
3800639;city scrape;Digital Nomads, Students Welcome;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1;3;3;60
3873970;city scrape;Red room in Benimaclet;EL PLA DEL REAL;Private room in rental unit;Private room;2;1;1;1;31
3885779;city scrape;Room with balcony view of Viveros;EL PLA DEL REAL;Private room in rental unit;Private room;2;1;1;1;31
3910499;city scrape;Apartamento único Universidades Politécnica UPV;ALGIROS;Entire rental unit;Entire home/apt;2;1;1;1;88
3917859;city scrape;Ático duplex /terraza en Ruzafa;QUATRE CARRERES;Entire rental unit;Entire home/apt;2;1;1;1;111
3927517;city scrape;Apartamento muy amplio y luminoso en Nazaret;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;2;2;2;140
3937711;city scrape;Apartamento con Encanto;CAMINS AL GRAU;Entire rental unit;Entire home/apt;3;1;1;2;55
3995313;city scrape;Quiet Apartment in Historic Centre;CIUTAT VELLA;Entire rental unit;Entire home/apt;6;1;2;3;92
3997953;city scrape;Stylish apartment in leafy location;EXTRAMURS;Entire rental unit;Entire home/apt;4;1;2;2;100
4042419;city scrape;apart near the sea and metro, Wi-Fi, air;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1.5;2;3;300
4057758;city scrape;One or two people, 3´ away from the beach, wifi;POBLATS MARITIMS;Private room in rental unit;Private room;2;1;1;1;32
4082223;city scrape;Habitación doble en Ruzafa;EXTRAMURS;Shared room in rental unit;Shared room;2;1;1;1;104
4140461;city scrape;Terrace Loft in Russafa;L'EIXAMPLE;Entire loft;Entire home/apt;4;1;2;2;100
4209753;city scrape;Apartamento primera línea de playa;POBLATS DEL SUD;Entire rental unit;Entire home/apt;8;2;4;7;220
4216011;city scrape;Newly renovated in April 2015. View.;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;1;2;4;142
4216116;city scrape;Design & Confort in Historic Center;CIUTAT VELLA;Entire loft;Entire home/apt;4;1;1;2;81
4230255;city scrape;El Rincon de las Artes_free WIFI;QUATRE CARRERES;Entire rental unit;Entire home/apt;4;1;2;3;100
4252632;city scrape;Parque Central. WIFI-Parking-Aire Acondicion;QUATRE CARRERES;Entire rental unit;Entire home/apt;6;2;3;4;139
4395740;city scrape;Habitacion Reino de Valencia;L'EIXAMPLE;Private room in rental unit;Private room;2;1;1;1;30
4468939;city scrape;PISO EN FINCA ROJA CENTRO VALENCIA;EXTRAMURS;Entire rental unit;Entire home/apt;4;2;3;4;170
4489050;city scrape;Moderno y céntrico apartamento con terraza;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;2;2;127
4510287;city scrape;El Mejor lugar Valencia Centro;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;2;100
4586824;city scrape;Cute, luminous and comfortable;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;2;2;37
4595165;city scrape;In the Heart of the Old Town & Food Market Central;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1.5;2;2;129
4721231;city scrape;Espaciosa , luminosa y céntrica;EL PLA DEL REAL;Private room in home;Private room;3;1;1;4;38
4734115;city scrape;Charming Loft;POBLATS MARITIMS;Entire loft;Entire home/apt;2;1;1;1;113
4764224;city scrape;Habitación en piso céntrico de Valencia;CIUTAT VELLA;Private room in rental unit;Private room;1;0.5;1;1;32
5000236;city scrape;Habitación luminosa y acogedora.;BENICALAP;Private room in rental unit;Private room;1;1;1;1;15
5003768;city scrape;bohemian urban style;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;2;78
5092574;city scrape;AMAZING STAY IN CENTRAL PENTHOUSE !!!;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;1;65
5108571;city scrape;El Palomar, Terrace overlooking the city;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;3;3;125
5191760;city scrape;Charming loft in Plaza Redonda -3;CIUTAT VELLA;Entire loft;Entire home/apt;2;1;1;1;82
5229002;city scrape;Apartamento en el corazón de Ruzafa;L'EIXAMPLE;Entire rental unit;Entire home/apt;5;1;3;4;175
5283997;city scrape;HOME IN VALENCIA AT PLAZA DE LA REINA-CATEDRAL;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;2;2;3;256
5401943;city scrape;Superb Apartment Valencia Center;CIUTAT VELLA;Entire rental unit;Entire home/apt;6;1;2;4;120
5429336;city scrape;Loft next to the beach / wifi /;POBLATS MARITIMS;Entire loft;Entire home/apt;4;1;1;2;139
5431062;city scrape;Radiant Apartment with a Balcony near Mercat Central;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;1;145
5432823;city scrape;Estudio 4º centro histórico Valencia Ciutat Vella;CIUTAT VELLA;Entire loft;Entire home/apt;3;1;1;4;106
5436669;city scrape;3 habitaciones Céntrico;LA SAIDIA;Entire rental unit;Entire home/apt;4;1;3;3;73
5502004;city scrape;Apartamento con vistas en La Albufera;POBLATS DEL SUD;Entire rental unit;Entire home/apt;4;2;2;3;186
5514387;city scrape;Apartamento con vistas, 2Hab. wifi, frente al rio;CAMPANAR;Entire rental unit;Entire home/apt;4;1;2;4;90
5514651;city scrape;MLH (My Little Home) Free WiFi - A/C;L'EIXAMPLE;Entire loft;Entire home/apt;2;1;0;1;70
5536781;city scrape;Ático con terraza en el Carmen;CIUTAT VELLA;Entire rental unit;Entire home/apt;2;1;1;1;60
5560396;city scrape;sunny flat at 300m from the beach -  WIFI/AC;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1;2;3;137
5561557;city scrape;LIGHTY · TERRACE · 4PAX · CABANYAL · BEACH;POBLATS MARITIMS;Entire rental unit;Entire home/apt;4;1;2;3;141
5578177;city scrape;LUXURY FLAT  CENTER VALENCIA WIFI;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;2;3;128
5579434;city scrape;YoungPenthouse;EXTRAMURS;Entire loft;Entire home/apt;5;1;3;3;61
5588671;city scrape;ツ♥︎Relaxed Centric Comfy♥︎Trendy Ruzafa;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;2;3;140
5592556;city scrape;Amazing Luxury Design Centre Apt.;CIUTAT VELLA;Entire rental unit;Entire home/apt;4;1;1;3;126
5657631;city scrape;Apartment Ruzafa N.reg.VT-36405-V CAT.E;L'EIXAMPLE;Entire rental unit;Entire home/apt;4;1;2;2;90
5680938;city scrape;APARTAMENTO LUJO CIUDAD CIENCIAS;QUATRE CARRERES;Entire rental unit;Entire home/apt;7;2;4;7;95
